mz	intensity	present	rsd	present_flag	rsd_flag	flags
133.078518787	11858.1425781	1	nan	0	0	0
133.078935527	46159.6927083	3	4.83880905437	1	1	1
133.079453539	146038.3125	3	1.50784784707	1	1	1
133.080121221	567887.291667	3	4.41903835031	1	1	1
133.080629948	49296.2695312	1	nan	0	0	0
133.083058431	15984.5436198	3	12.9451596833	1	1	1
133.08588806	12105.5273438	2	6.52501681986	1	1	1
133.097174083	15027.0100911	3	15.7518461361	1	1	1
133.105270045	21533.9908854	3	20.7475112314	1	0	0
134.043582054	12522.5882161	3	4.25239164282	1	1	1
134.044087519	34458.2382812	3	17.5647376351	1	1	1
134.044814361	134861.036458	3	3.94096585007	1	1	1
134.045338752	11174.0834961	2	0.685996382795	1	1	1
134.080336339	12715.8916016	2	9.48964804974	1	1	1
134.08100559	63354.1497396	3	9.01004701274	1	1	1
134.083458783	10703.5849609	2	1.77145671933	1	1	1
134.996500665	30057.8365885	3	26.1651243599	1	0	0
135.002161218	14949.5371094	3	3.00457312591	1	1	1
135.002874299	76736.3723958	3	4.45335485631	1	1	1
135.032132508	12414.2128906	1	nan	0	0	0
135.101616053	11097.6240234	1	nan	0	0	0
135.528278925	11850.2011719	1	nan	0	0	0
136.046915804	32237.6139323	3	2.76351462242	1	1	1
136.047429194	78371.1640625	3	1.79820126873	1	1	1
136.048140221	508126.916667	3	3.30626229827	1	1	1
136.048689505	40318.53125	2	0.513973490788	1	1	1
136.061085419	14965.8193359	3	10.168621998	1	1	1
136.061772293	87345.1223958	3	6.45626528579	1	1	1
136.939334192	21642.1595052	3	11.5240662173	1	1	1
136.9400611	145249.635417	3	15.282401936	1	1	1
136.940645624	10529.1809896	3	8.42778227307	1	1	1
137.029512681	42534.3365885	3	23.5285952389	1	0	0
137.044547388	23146.1471354	3	6.01171167743	1	1	1
137.045066539	55138.5677083	3	9.93027301917	1	1	1
137.045789008	384978.333333	3	10.0666821415	1	1	1
137.046343826	27798.8639323	3	12.5152455691	1	1	1
137.051493634	16602.4000651	3	14.1096218919	1	1	1
137.05730784	23718.0514323	3	11.660813159	1	1	1
138.049141151	20888.9869792	3	7.54990850149	1	1	1
138.052580378	27196.3958333	3	10.6251769131	1	1	1
138.938171793	11929.4316406	1	nan	0	0	0
138.964153361	15716.039388	3	22.4933235805	1	0	0
139.014858315	15806.4990234	3	15.0986615057	1	1	1
139.015607838	82234.5390625	3	6.65481947402	1	1	1
139.036591361	14097.7727865	3	16.5548383223	1	1	1
139.050205963	55137.4257812	1	nan	0	0	0
139.072977165	11136.8974609	1	nan	0	0	0
139.111763496	12150.4960938	1	nan	0	0	0
140.066463777	16218.4335938	2	0.45702962895	1	1	1
140.066939314	97649.1067708	3	1.41623778884	1	1	1
140.067478244	307745.645833	3	6.81404255024	1	1	1
140.068166208	2188893.95833	3	4.82434534684	1	1	1
140.068755404	173120.838542	3	4.51168095087	1	1	1
140.069345516	11700.4716797	1	nan	0	0	0
140.994882103	19851.3359375	3	6.73964353646	1	1	1
141.013742843	10279.9941406	1	nan	0	0	0
141.015849879	16679.2207031	3	23.3442721853	1	0	0
141.031266963	10173.4960938	1	nan	0	0	0
141.070827466	13296.3212891	3	9.43877008073	1	1	1
141.071584897	95130.4635417	3	8.66486495213	1	1	1
142.026405704	15778.188151	3	7.51338526151	1	1	1
142.948089903	38403.9791667	3	6.80140064596	1	1	1
143.048538116	10970.9248047	1	nan	0	0	0
143.106648073	9835.1171875	1	nan	0	0	0
143.988090328	41218.6119792	3	43.7820155504	1	0	0
144.00577242	18591.9973958	3	27.0277421062	1	0	0
144.10111549	10468.6894531	2	2.68528605296	1	1	1
144.101940515	63078.328125	3	8.24671410102	1	1	1
145.026180814	21995.4759115	3	13.6673332153	1	1	1
145.034597911	18492.680013	3	14.7306966987	1	1	1
145.037265708	19310.6318359	3	26.6662233885	1	0	0
145.985139647	14835.8528646	3	44.1626144325	1	0	0
146.09242877	19098.0569661	3	28.7541601718	1	0	0
146.115664285	10674.0878906	2	4.01177793843	1	1	1
146.116179691	47573.2682292	3	4.11835435142	1	1	1
146.116780453	121844.760417	3	5.90022047936	1	1	1
146.117577886	720642.833333	3	5.233856226	1	1	1
146.165231491	16989.0419922	3	9.88184967563	1	1	1
147.074508523	18851.1289062	3	0.590621845203	1	1	1
147.075041768	112592.463542	3	3.99260323396	1	1	1
147.075639193	386150.833333	3	5.28924102563	1	1	1
147.076392585	2635945.0	3	8.11019451199	1	1	1
147.076991038	223529.1875	1	nan	0	0	0
147.112006559	10693.9248047	1	nan	0	0	0
147.112835045	39895.860026	3	16.273198233	1	1	1
147.120131473	9844.70800781	1	nan	0	0	0
147.12093651	54628.6028646	3	4.87443050959	1	1	1
148.002478811	26077.7239583	3	4.2042134113	1	1	1
148.003074665	72486.4817708	3	3.54688870056	1	1	1
148.003907086	416443.1875	3	1.25449268755	1	1	1
148.004546124	29112.7783203	2	6.17827323932	1	1	1
148.042695075	11470.0957031	1	nan	0	0	0
148.058480238	10573.453125	1	nan	0	0	0
148.059017855	44367.1901042	3	2.37290445151	1	1	1
148.059622975	118010.21875	3	5.26986042181	1	1	1
148.06045277	724794.104167	3	4.03447822057	1	1	1
148.061097591	50924.9023438	3	3.09086670119	1	1	1
148.073476229	12802.4147135	3	4.24393584331	1	1	1
148.07896046	17962.2607422	3	17.0111627769	1	1	1
148.079794783	99426.5260417	3	2.88585010172	1	1	1
148.096815596	14786.6772461	2	24.9455216215	1	0	0
149.063811558	28643.6855469	3	6.49257097757	1	1	1
149.080704624	11141.7553711	2	6.18718340947	1	1	1
149.992810921	13295.585612	3	25.5792480256	1	0	0
149.999711485	14670.9866536	3	16.2811233888	1	1	1
150.058364828	23045.5761719	3	13.0236557454	1	1	1
150.975326172	10859.9589844	3	6.64913407058	1	1	1
150.975958287	32261.2005208	3	8.4371997337	1	1	1
150.976833022	187515.052083	3	7.89388839529	1	1	1
151.047834177	25514.9915365	3	6.70879099131	1	1	1
152.021236009	11100.5317383	2	1.11729673704	1	1	1
152.022102694	61329.7174479	3	8.380530258	1	1	1
156.040617876	41410.6536458	3	13.7262931178	1	1	1
156.041272371	131056.572917	3	11.1078209517	1	1	1
156.042052229	1186411.45833	3	9.14452940203	1	1	1
156.076706392	10946.8554688	2	7.35558334924	1	1	1
156.989738617	9530.81201172	2	14.8489764104	1	1	1
157.010696387	11820.0813802	3	12.9720162358	1	1	1
157.044565758	8973.79882812	1	nan	0	0	0
157.045462808	63986.5351562	3	12.3159445093	1	1	1
158.039361613	9993.43408203	3	18.198645947	1	1	1
158.040229401	85027.015625	3	9.0902980194	1	1	1
158.921989691	35103.8880208	3	4.55517429337	1	1	1
159.013804564	27699.5351562	3	12.9487428614	1	1	1
159.026863286	7829.21362305	2	4.56110784743	1	1	1
159.027709548	41974.0078125	3	8.88309331464	1	1	1
160.132348861	10020.4682617	2	10.79263104	1	1	1
160.133168778	58057.1783854	3	11.3667227551	1	1	1
161.011115435	12268.4410807	3	9.80060484405	1	1	1
161.029386263	9904.8046875	1	nan	0	0	0
161.128357276	16401.9671224	3	3.34174026966	1	1	1
162.109225447	9328.98779297	2	1.43410625703	1	1	1
162.109847328	16073.0169271	3	6.40959824902	1	1	1
162.111462215	595807.104167	3	2.81122427125	1	1	1
162.112304915	5767224.66667	3	10.0343803731	1	1	1
162.113070572	515775.166667	3	10.984767196	1	1	1
162.114199256	12735.6689453	3	18.0070919889	1	1	1
162.114655361	9316.1484375	1	nan	0	0	0
