mz	intensity	present	rsd	present_flag	rsd_flag	flags
143.98809417	37978.3554688	1	nan	0	0	0
144.032366881	14482.7011719	1	nan	0	0	0
144.101149824	10480.3216146	3	19.159035695	1	1	1
144.101946539	75750.6328125	3	7.08202048221	1	1	1
145.02619199	18973.5654297	3	18.3904214881	1	1	1
145.034624249	15741.8922526	3	4.43775157367	1	1	1
145.037286408	15407.9117839	3	46.9578360947	1	0	0
145.04959839	8338.01171875	1	nan	0	0	0
145.985159422	11434.1699219	1	nan	0	0	0
146.092459515	20793.7734375	3	9.54412710022	1	1	1
146.11615205	12930.5429688	3	23.985728238	1	0	0
146.116752527	34734.1946615	3	12.2544029821	1	1	1
146.117603727	176180.822917	3	5.25281080781	1	1	1
146.118251773	14060.746582	2	4.08306813534	1	1	1
146.165223796	39362.7981771	3	11.5783923461	1	1	1
147.074486946	10725.3834635	3	11.8490086188	1	1	1
147.075010498	86553.2265625	3	6.73867755276	1	1	1
147.075629933	308653.739583	3	11.7561405797	1	1	1
147.076374776	2051354.16667	3	12.1669987265	1	1	1
147.076973728	171432.307292	3	12.6351234329	1	1	1
147.077922574	8195.08105469	1	nan	0	0	0
147.112867964	22746.547526	3	11.3192455024	1	1	1
147.120937642	11007.969401	3	14.606379104	1	1	1
148.00246327	45273.1171875	3	23.1362000191	1	0	0
148.003086235	120458.833333	3	25.4271858921	1	0	0
148.003888809	756784.520833	3	27.6604982169	1	0	0
148.004531793	64227.8072917	3	24.4342884506	1	0	0
148.042711139	11122.7519531	1	nan	0	0	0
148.059003151	21070.7714844	3	3.23921906427	1	1	1
148.059619713	56067.5364583	3	2.17875765503	1	1	1
148.060470873	325209.708333	3	9.49917845352	1	1	1
148.061118458	27865.1184896	3	10.2691626543	1	1	1
148.078969728	11325.0429688	3	15.0956889552	1	1	1
148.079824026	65274.3984375	3	11.447681032	1	1	1
148.096896557	8669.48339844	1	nan	0	0	0
149.00728861	13538.8623047	2	33.8403229419	1	0	0
149.029559949	17743.8813477	2	33.145126584	1	0	0
149.063837533	15251.2807617	2	3.72158485793	1	1	1
149.080568034	8893.04296875	1	nan	0	0	0
149.992802228	9347.56640625	2	1.70909498921	1	1	1
149.999738967	29792.375651	3	36.2890148032	1	0	0
150.058378397	9571.2327474	3	1.33741165425	1	1	1
150.975988101	17871.7154948	3	31.3457084443	1	0	0
150.976837694	110824.575521	3	20.2063681919	1	0	0
150.977570004	9475.6484375	1	nan	0	0	0
151.047851577	16653.2981771	3	15.4267948711	1	1	1
152.021262738	11540.2630208	3	4.5352024007	1	1	1
152.022103241	64284.7473958	3	13.8816038989	1	1	1
156.040529574	13480.6184896	3	13.1672363857	1	1	1
156.041306355	47742.4882812	3	19.2590804292	1	1	1
156.042101188	387990.3125	3	15.9948484016	1	1	1
156.076757268	28126.9342448	3	1.98898870528	1	1	1
156.989753361	16300.6650391	3	16.0313835436	1	1	1
157.010721163	12809.5397135	3	17.8016576693	1	1	1
157.045505878	19431.601888	3	15.5809269453	1	1	1
158.04025446	26037.5553385	3	17.8998407666	1	1	1
158.921996425	17852.3554688	3	15.8282001762	1	1	1
159.013827237	20392.4941406	3	15.8561239208	1	1	1
159.076391017	7755.38736979	3	4.80229858317	1	1	1
160.132308643	12702.2607422	3	24.707695885	1	0	0
160.133197583	118571.541667	3	13.0408160147	1	1	1
161.127545949	7119.15283203	2	7.47004206097	1	1	1
161.128442251	48137.1627604	3	7.74782176866	1	1	1
161.136548712	8844.19547526	3	9.18695631546	1	1	1
162.076132188	7321.90136719	1	nan	0	0	0
162.109906705	11239.1591797	3	4.11464218475	1	1	1
162.110673879	70246.0885417	3	5.97934776231	1	1	1
162.111624969	399223.25	2	1.79254339521	1	1	1
162.112345295	3433202.0	3	7.67875900838	1	1	1
162.113091328	300235.427083	3	7.40074960381	1	1	1
162.114185037	10642.8857422	3	21.7746091761	1	0	0
163.045136513	23340.5260417	3	14.3670475276	1	1	1
163.109529546	7779.55419922	2	3.52863045517	1	1	1
163.114114748	6561.57617188	1	nan	0	0	0
163.114854101	20953.21875	3	9.38182787744	1	1	1
163.115823835	198886.46875	3	11.0543068373	1	1	1
163.976061486	17180.2096354	3	11.7918326477	1	1	1
163.976860892	56235.3736979	3	11.4762913019	1	1	1
163.977789016	502920.989583	3	10.7602121349	1	1	1
164.116732083	15972.5673828	3	4.99109160614	1	1	1
164.119165808	8841.46337891	2	6.8693169728	1	1	1
164.531018702	9425.99267578	2	14.2210289212	1	1	1
164.981175038	9729.4078776	3	25.7136277522	1	0	0
165.00705165	7121.07324219	1	nan	0	0	0
165.973616202	19797.4550781	3	15.5631013498	1	1	1
165.975938801	40799.3697917	3	12.1790519746	1	1	1
166.0018806	8026.24511719	3	12.2137226146	1	1	1
166.086267381	31944.0846354	3	5.73762584216	1	1	1
166.949806014	8586.90209961	2	8.38802772129	1	1	1
166.950724748	89474.6315104	3	19.800510774	1	1	1
167.020791069	12447.3881836	2	2.60883591645	1	1	1
167.021732671	106785.572917	3	19.3079307198	1	1	1
167.031490116	15394.6389974	3	19.7338075301	1	1	1
167.040057941	14607.6640625	3	22.9417165644	1	0	0
167.046876169	8405.31054688	3	0.98947435795	1	1	1
167.104258753	16851.5875651	3	10.5289781766	1	1	1
168.005762489	52874.1289062	3	11.3326609902	1	1	1
168.948842313	10498.7884115	3	27.6512799171	1	0	0
169.026133083	12393.0670573	3	11.7844294701	1	1	1
169.057381842	8746.64941406	1	nan	0	0	0
169.058368244	82035.65625	3	18.6510355742	1	1	1
169.985835885	16932.9287109	3	40.2177586052	1	0	0
170.03080103	15342.6015625	3	17.8796370864	1	1	1
170.031627343	57106.2304688	3	11.6845962783	1	1	1
170.032605245	554144.729167	3	10.8964211677	1	1	1
170.042365452	13320.0458984	3	24.8921084774	1	0	0
170.057796971	8213.77815755	3	11.4475704723	1	1	1
170.081210846	12117.1009115	3	20.47384334	1	0	0
170.092410631	36261.6516927	3	10.0221636636	1	1	1
171.036000544	20459.5104167	3	31.88007549	1	0	0
171.041802136	9135.67643229	3	9.22032010573	1	1	1
171.099189449	10141.2172852	2	17.1050824121	1	1	1
172.030765558	36385.8678385	3	14.5379678556	1	1	1
172.133232251	12994.1236979	3	4.77688121503	1	1	1
172.98470219	52892.2760417	3	10.3056989782	1	1	1
172.987849702	11543.5634766	1	nan	0	0	0
173.057469695	8869.7281901	3	16.9901794503	1	1	1
173.078407363	10758.1674805	3	32.5891054035	1	0	0
173.079840046	6733.43212891	1	nan	0	0	0
173.080842793	76483.0104167	3	1.14584565215	1	1	1
174.895949815	34430.8216146	3	15.7687642325	1	1	1
174.991363953	8455.62109375	1	nan	0	0	0
175.001671	18085.351888	3	6.97266369559	1	1	1
175.107729229	8455.63232422	3	14.709260821	1	1	1
175.118963426	56598.1731771	3	13.6013802818	1	1	1
176.101952364	6568.41748047	1	nan	0	0	0
176.102985142	76591.0963542	3	12.5693534921	1	1	1
177.106335644	7076.171875	1	nan	0	0	0
178.971779446	7352.92236328	1	nan	0	0	0
179.128489124	10280.7496745	3	14.480122546	1	1	1
179.982307095	6495.95654297	1	nan	0	0	0
182.04808496	6869.41308594	1	nan	0	0	0
184.073313064	10148.8902995	3	22.3755887918	1	0	0
184.094440662	9921.18684896	3	17.250071334	1	1	1
185.032345603	13060.0436198	3	21.0089698487	1	0	0
185.959794981	15143.5947266	3	23.170933843	1	0	0
187.073104364	8410.10904948	3	14.8912367603	1	1	1
187.125933812	20000.3649089	3	22.043318939	1	0	0
189.052409825	28963.6842448	3	8.50540691692	1	1	1
189.13461629	7548.55973307	3	9.32839069402	1	1	1
189.159797366	9881.51497396	3	2.87150253013	1	1	1
190.11863625	8884.76123047	2	21.1225153936	1	0	0
191.031650487	8287.86621094	1	nan	0	0	0
191.04013803	48321.125	3	12.3471049876	1	1	1
191.104299073	8996.44775391	3	29.8844748105	1	0	0
192.014632513	27412.7884115	3	22.5469422265	1	0	0
192.109152026	14762.773763	3	19.3712190869	1	1	1
193.001993578	20945.5742188	3	4.86899504061	1	1	1
193.037638127	8968.84472656	1	nan	0	0	0
193.062529337	9995.8453776	3	9.77288533982	1	1	1
194.032681349	12306.1761068	3	17.6857839161	1	1	1
194.115199142	12943.5221354	3	33.0403632269	1	0	0
194.945675231	8347.53100586	2	13.2933352679	1	1	1
194.96664271	16084.3424479	3	21.0081938567	1	0	0
195.041747512	6435.16894531	1	nan	0	0	0
195.078201409	10186.9944661	3	11.798805353	1	1	1
195.099181021	7510.98974609	1	nan	0	0	0
196.073440302	10322.5898438	3	17.9152257511	1	1	1
196.877985465	7100.71704102	2	5.35092925839	1	1	1
196.969766606	8132.99291992	2	17.2577493553	1	1	1
197.057396088	10008.8183594	3	13.7314391773	1	1	1
